Webmapper code,Webmapper numeric code,ccode,country name,start year,end year,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
cshapes/1475,1475,368,Iraq,1946,2012,,,,,1364,1445,1557,2129,2463,2298,2389,2300,2493,2523,2735,2961,3017,2872,3115,3288,3349,3164,3604,3604,3473,3567,3323,3753,3825,4315,5023,4992,5693,6756,6377,5041,4833,4269,4136,3932,3759,3797,2908,2571,2458.436037,946.6573109,1196.324266,1161.028874,1070.393699,944.6291378,1031.587948,962.492816,1074.614505,1132.496354,1221.391015,1293.940279,1345.87152,1023.430557,1516.237204,1464.875081,1514.474302,1497.031702,1597.501671,1602.609169,1609.747966
cshapes/1572,1572,608,Philippines,1946,2012,646,875,993,1025,1070,1151,1186,1254,1308,1358,1410,1442,1448,1501,1476,1512,1537,1595,1600,1633,1654,1690,1722,1750,1764,1808,1853,1964,1979,2033,2152,2211,2262,2323,2376,2396,2421,2407,2176,1967,1983,2019,2105,2184,2197.419114,2135.957591,2098.905877,2098.963841,2143.929449,2193.168408,2267.179806,2330.875135,2267.248045,2286.890956,2335.620068,2349.037515,2381.905593,2447.976403,2556.815429,2625.235651,2708.043098,2829.254333,2888.333725,2864.4015,3023.656514
cshapes/1524,1524,426,Lesotho,1966,2012,,,,,355,370,375,384,399,405,413,422,430,435,458,457,517,560,593,593,577,626,610,605,604,535,624,769,797,715,814,936,1054,962,1005,990,1001,892,944,953,948,972,1070,1159,1181.111511,1201.039554,1228.319951,1246.185671,1215.409928,1341.445212,1441.789922,1485.042806,1419.213267,1434.104039,1468.932605,1504.490691,1562.291488,1597.678313,1659.691358,1668.011431,1799.813091,1888.23778,1951.902565,,
cshapes/1647,1647,834,Tanzania,1996,2012,,,,,424,466,464,437,461,460,454,452,444,453,459,441,468,483,494,497,544,549,561,554,568,574,593,593,588,600,625,623,623,613,601,577,568,549,546,529,530,539,544,546,549.3712293,545.3887252,533.171275,522.2035655,510.6985863,512.4695416,524.7479554,530.6892562,534.7550371,537.7439282,547.1724563,563.0740175,585.6604435,607.3705391,636.0713366,663.3631149,687.8270407,715.8546454,747.476985,771.7589683,803.8524306
cshapes/1464,1464,466,Mali,1960,2012,,,,,457,464,472,480,488,496,504,512,521,530,534,527,519,543,557,553,564,571,579,564,586,593,609,581,554,616,684,720,691,844,733,697,646,663,680,683,714,714,700,756,747.0966513,797.2222558,751.5175026,762.4234604,770.9934484,776.1178673,818.1880389,839.2733427,854.5210399,877.5704072,824.3050332,895.149344,906.3437404,946.6407841,939.3619043,967.3021875,987.7306,999.477065,1017.907741,1031.316588,1058.509202
cshapes/1482,1482,752,Sweden,1946,2012,5645.518038,6091.26166,6161.899533,6353.205402,6739.226206,6948.845087,6996.113504,7144.570283,7402.103559,7565.553489,7797.06202,8092.425107,8082.85442,8287.930166,8687.503342,9136.968085,9468.775747,9916.850005,10515.37914,10815.18261,10935.60286,11219.21522,11561.2306,12055.19062,12716.34257,12748.43085,13001.75197,13493.56071,13884.58635,14183.33929,14281.63132,14003.62352,14207.36172,14721.01783,14936.58,14916.54939,15057.54775,15314.50841,15908.31178,16188.54666,16505.22956,16948.84461,17232.27548,17524.05504,17608.90241,17276.29206,16969.00286,16524.27793,17066.26515,17645.71762,17901.2891,18374.99354,19136.77005,20012.53004,20871.2466,21096.05343,21585.52542,22049.97821,22942.61217,23627.36773,24602.14715,25376.7419,25181.20391,23877.51514,25306.37113
cshapes/1521,1521,438,Liechtenstein,1990,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cshapes/1442,1442,470,Malta,1964,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cshapes/1514,1514,616,Poland,1946,2012,,,,,2447,2510,2521,2618,2715,2794,2864,2962,3057,3096,3215,3426,3341,3502,3622,3787,3991,4103,4317,4241,4428,4707,5010,5340,5601,5808,5895,5949,6111,5942,5740,5385,5288,5498,5650,5660,5797,5683,5789,5684,5113.40548,4738.038523,4842.32787,5010.675696,5264.856557,5623.226713,5969.539351,6388.403455,6704.256873,7008.154548,7308.839204,7398.946373,7509.181903,7804.247096,8226.141997,8528.652953,9064.736446,9684.485324,10185.60338,10356.17542,10762.46351
nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
