"","country","year","gdp","growth"
"1","Belgium",1996,19300,0.0265957446808511
"2","Bulgaria",1996,3900,-0.152173913043478
"3","Czech Republic",1996,12100,0.0803571428571428
"4","Denmark",1996,20400,0.0569948186528497
"5","Germany",1996,19500,0.0372340425531914
"6","Estonia",1996,5800,0.0943396226415094
"7","Ireland",1996,16600,0.0921052631578947
"8","Greece",1996,11500,0.0454545454545454
"9","Spain",1996,14200,0.0597014925373134
"10","France",1996,17600,0.0352941176470589
"11","Croatia",1996,7600,0.134328358208955
"12","Italy",1996,18600,0.0449438202247192
"13","Cyprus",1996,13300,0.0390625
"14","Latvia",1996,5000,0.0869565217391304
"15","Lithuania",1996,5600,0.0769230769230769
"16","Luxembourg",1996,34000,0.0461538461538462
"17","Hungary",1996,7900,0.0533333333333332
"18","Malta",1996,12600,-0.0307692307692308
"19","Netherlands",1996,19200,0.0607734806629834
"20","Austria",1996,20600,0.0456852791878173
"21","Poland",1996,6900,0.0952380952380953
"22","Portugal",1996,11900,0.0530973451327434
"23","Romania",1996,5100,0.0625
"24","Slovenia",1996,11700,0.073394495412844
"25","Slovakia",1996,7600,0.0857142857142856
"26","Finland",1996,16300,0.0316455696202531
"27","Sweden",1996,19200,0.0491803278688525
"28","United Kingdom",1996,18000,0.0650887573964498
"29","Iceland",1996,20500,0.0512820512820513
"30","Liechtenstein",1996,NA,NA
"31","Norway",1996,22000,0.111111111111111
"32","Switzerland",1996,23700,0.034934497816594
"33","Former Yugoslav Republic of Macedonia",1996,NA,NA
"34","Serbia",1996,NA,NA
"35","Turkey",1996,4800,0.0909090909090908
"36","United States",1996,25400,0.053941908713693
"37","Japan",1996,20200,0.0520833333333333
"38","Belgium",1997,20400,0.0569948186528497
"39","Bulgaria",1997,4100,0.0512820512820513
"40","Czech Republic",1997,12300,0.0165289256198347
"41","Denmark",1997,21600,0.0588235294117647
"42","Germany",1997,20100,0.0307692307692307
"43","Estonia",1997,6800,0.172413793103448
"44","Ireland",1997,18600,0.120481927710843
"45","Greece",1997,12200,0.0608695652173914
"46","Spain",1997,15100,0.0633802816901408
"47","France",1997,18500,0.0511363636363635
"48","Croatia",1997,8200,0.0789473684210527
"49","Italy",1997,19400,0.043010752688172
"50","Cyprus",1997,13800,0.0375939849624061
"51","Latvia",1997,5600,0.12
"52","Lithuania",1997,6200,0.107142857142857
"53","Luxembourg",1997,34800,0.0235294117647058
"54","Hungary",1997,8500,0.0759493670886076
"55","Malta",1997,13500,0.0714285714285714
"56","Netherlands",1997,20600,0.0729166666666667
"57","Austria",1997,21400,0.0388349514563107
"58","Poland",1997,7600,0.101449275362319
"59","Portugal",1997,12700,0.0672268907563025
"60","Romania",1997,4700,-0.0784313725490197
"61","Slovenia",1997,12700,0.0854700854700854
"62","Slovakia",1997,8300,0.0921052631578947
"63","Finland",1997,17900,0.0981595092024541
"64","Sweden",1997,20000,0.0416666666666667
"65","United Kingdom",1997,19500,0.0833333333333333
"66","Iceland",1997,22300,0.0878048780487806
"67","Liechtenstein",1997,NA,NA
"68","Norway",1997,23900,0.0863636363636364
"69","Switzerland",1997,25000,0.0548523206751055
"70","Former Yugoslav Republic of Macedonia",1997,4300,NA
"71","Serbia",1997,NA,NA
"72","Turkey",1997,5300,0.104166666666667
"73","United States",1997,26900,0.0590551181102361
"74","Japan",1997,21000,0.0396039603960396
"75","Belgium",1998,20800,0.0196078431372548
"76","Bulgaria",1998,4700,0.146341463414634
"77","Czech Republic",1998,12300,0
"78","Denmark",1998,22300,0.0324074074074074
"79","Germany",1998,20700,0.0298507462686568
"80","Estonia",1998,7200,0.0588235294117647
"81","Ireland",1998,20500,0.102150537634409
"82","Greece",1998,12600,0.0327868852459017
"83","Spain",1998,16200,0.0728476821192052
"84","France",1998,19500,0.0540540540540539
"85","Croatia",1998,8600,0.0487804878048781
"86","Italy",1998,20400,0.0515463917525774
"87","Cyprus",1998,14600,0.0579710144927537
"88","Latvia",1998,6200,0.107142857142857
"89","Lithuania",1998,6800,0.096774193548387
"90","Luxembourg",1998,36900,0.0603448275862069
"91","Hungary",1998,9100,0.0705882352941176
"92","Malta",1998,14100,0.0444444444444445
"93","Netherlands",1998,21800,0.058252427184466
"94","Austria",1998,22400,0.0467289719626167
"95","Poland",1998,8100,0.0657894736842106
"96","Portugal",1998,13400,0.0551181102362204
"97","Romania",1998,4500,-0.0425531914893617
"98","Slovenia",1998,13400,0.0551181102362204
"99","Slovakia",1998,8800,0.0602409638554218
"100","Finland",1998,19300,0.0782122905027933
"101","Sweden",1998,20900,0.0449999999999999
"102","United Kingdom",1998,20200,0.035897435897436
"103","Iceland",1998,23800,0.0672645739910314
"104","Liechtenstein",1998,NA,NA
"105","Norway",1998,23400,-0.0209205020920502
"106","Switzerland",1998,25800,0.032
"107","Former Yugoslav Republic of Macedonia",1998,4500,0.0465116279069768
"108","Serbia",1998,NA,NA
"109","Turkey",1998,7300,0.377358490566038
"110","United States",1998,28100,0.0446096654275092
"111","Japan",1998,20800,-0.00952380952380949
"112","Belgium",1999,21900,0.0528846153846154
"113","Bulgaria",1999,4900,0.0425531914893618
"114","Czech Republic",1999,12800,0.0406504065040652
"115","Denmark",1999,23300,0.0448430493273542
"116","Germany",1999,21600,0.0434782608695652
"117","Estonia",1999,7600,0.0555555555555556
"118","Ireland",1999,22400,0.0926829268292684
