"country","year","gdp"
"Belgium",1995,18800
"Bulgaria",1995,4600
"Czech Republic",1995,11200
"Denmark",1995,19300
"Germany",1995,18800
"Estonia",1995,5300
"Ireland",1995,15200
"Greece",1995,11000
"Spain",1995,13400
"France",1995,17000
"Croatia",1995,6700
"Italy",1995,17800
"Cyprus",1995,12800
"Latvia",1995,4600
"Lithuania",1995,5200
"Luxembourg",1995,32500
"Hungary",1995,7500
"Malta",1995,13000
"Netherlands",1995,18100
"Austria",1995,19700
"Poland",1995,6300
"Portugal",1995,11300
"Romania",1995,4800
"Slovenia",1995,10900
"Slovakia",1995,7000
"Finland",1995,15800
"Sweden",1995,18300
"United Kingdom",1995,16900
"Iceland",1995,19500
"Liechtenstein",1995,NA
"Norway",1995,19800
"Switzerland",1995,22900
"Former Yugoslav Republic of Macedonia",1995,NA
"Serbia",1995,NA
"Turkey",1995,4400
"United States",1995,24100
"Japan",1995,19200
"Belgium",1996,19300
"Bulgaria",1996,3900
"Czech Republic",1996,12100
"Denmark",1996,20400
"Germany",1996,19500
"Estonia",1996,5800
"Ireland",1996,16600
"Greece",1996,11500
"Spain",1996,14200
"France",1996,17600
"Croatia",1996,7600
"Italy",1996,18600
"Cyprus",1996,13300
"Latvia",1996,5000
"Lithuania",1996,5600
"Luxembourg",1996,34000
"Hungary",1996,7900
"Malta",1996,12600
"Netherlands",1996,19200
"Austria",1996,20600
"Poland",1996,6900
"Portugal",1996,11900
"Romania",1996,5100
"Slovenia",1996,11700
"Slovakia",1996,7600
"Finland",1996,16300
"Sweden",1996,19200
"United Kingdom",1996,18000
"Iceland",1996,20500
"Liechtenstein",1996,NA
"Norway",1996,22000
"Switzerland",1996,23700
"Former Yugoslav Republic of Macedonia",1996,NA
"Serbia",1996,NA
"Turkey",1996,4800
"United States",1996,25400
"Japan",1996,20200
"Belgium",1997,20400
"Bulgaria",1997,4100
"Czech Republic",1997,12300
"Denmark",1997,21600
"Germany",1997,20100
"Estonia",1997,6800
"Ireland",1997,18600
"Greece",1997,12200
"Spain",1997,15100
"France",1997,18500
"Croatia",1997,8200
"Italy",1997,19400
"Cyprus",1997,13800
"Latvia",1997,5600
"Lithuania",1997,6200
"Luxembourg",1997,34800
"Hungary",1997,8500
"Malta",1997,13500
"Netherlands",1997,20600
"Austria",1997,21400
"Poland",1997,7600
"Portugal",1997,12700
"Romania",1997,4700
"Slovenia",1997,12700
"Slovakia",1997,8300
"Finland",1997,17900
"Sweden",1997,20000
"United Kingdom",1997,19500
"Iceland",1997,22300
"Liechtenstein",1997,NA
"Norway",1997,23900
"Switzerland",1997,25000
"Former Yugoslav Republic of Macedonia",1997,4300
"Serbia",1997,NA
"Turkey",1997,5300
"United States",1997,26900
"Japan",1997,21000
"Belgium",1998,20800
"Bulgaria",1998,4700
"Czech Republic",1998,12300
"Denmark",1998,22300
"Germany",1998,20700
"Estonia",1998,7200
"Ireland",1998,20500
"Greece",1998,12600
"Spain",1998,16200
"France",1998,19500
"Croatia",1998,8600
"Italy",1998,20400
"Cyprus",1998,14600
"Latvia",1998,6200
"Lithuania",1998,6800
"Luxembourg",1998,36900
"Hungary",1998,9100
"Malta",1998,14100
"Netherlands",1998,21800
"Austria",1998,22400
"Poland",1998,8100
"Portugal",1998,13400
"Romania",1998,4500
"Slovenia",1998,13400
"Slovakia",1998,8800
"Finland",1998,19300
