country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Belgium,18800,19300,20400,20800,21900,24000,24500,25600,25600,26200,26900,27800,28900,28900,27600,29400,30200,30700,30500
Bulgaria,4600,3900,4100,4700,4900,5400,5900,6500,6900,7500,8200,9000,10000,10900,10300,10800,11700,12100,12000
Czech Republic,11200,12100,12300,12300,12800,13500,14400,15000,15800,16900,17800,18900,20600,20200,19400,19700,20300,20700,20600
Denmark,19300,20400,21600,22300,23300,25000,25200,26200,25700,27100,27700,29300,30600,31100,28900,31200,31500,32100,32100
Germany,18800,19500,20100,20700,21600,22400,22900,23400,23900,25000,26000,27300,28800,29000,26900,29200,30800,31500,32000
Estonia,5300,5800,6800,7200,7600,8600,9200,10200,11300,12400,13800,15600,17500,17200,14900,15800,17300,18300,18800
Ireland,15200,16600,18600,20500,22400,25100,26200,28200,29300,30800,32400,34400,36500,32900,30100,31400,32300,32900,32500
Greece,11000,11500,12200,12600,13200,16000,17100,18400,19200,20300,20400,21800,22600,23200,22300,21600,20300,19500,
Spain,13400,14200,15100,16200,17100,18500,19400,20600,20900,21900,22900,24800,26200,25900,24200,24200,24300,24400,24500
France,17000,17600,18500,19500,20400,21900,22800,23600,23000,23700,24700,25500,26900,26700,25500,26600,27400,27700,27800
Croatia,6700,7600,8200,8600,8600,9500,10000,11100,11700,12500,13200,14100,15600,16200,14900,14700,15200,15600,15600
Italy,17800,18600,19400,20400,21000,22300,23400,23000,23000,23100,23600,24700,26000,26000,24300,25100,25500,25600,25200
Cyprus,12800,13300,13800,14600,15400,16700,17800,18100,18300,19600,20800,22000,23500,24800,23400,23600,23500,23400,22100
Latvia,4600,5000,5600,6200,6400,6900,7600,8400,9100,10100,11100,12500,14300,14600,12700,13500,15000,16400,17300
Lithuania,5200,5600,6200,6800,6900,7500,8300,9100,10300,11100,12300,13600,15500,16100,13600,15100,16900,18300,19100
Luxembourg,32500,34000,34800,36900,42300,46500,46200,49000,51100,54500,57000,63800,68400,65800,59200,64000,66700,67100,67900
Hungary,7500,7900,8500,9100,9500,10300,11500,12500,12900,13600,14200,14900,15300,15900,15300,16100,16900,17000,17200
Malta,13000,12600,13500,14100,14900,16500,16100,16800,17000,17200,18000,18600,19600,20300,19800,21300,21600,22100,22700
Netherlands,18100,19200,20600,21800,23300,25500,26400,27200,26700,27900,29300,31000,33000,33500,31000,31700,32500,32500,32600
Austria,19700,20600,21400,22400,23500,25100,24900,26000,26400,27600,28100,29700,30900,31100,29500,30900,32300,33100,33200
Poland,6300,6900,7600,8100,8600,9200,9400,9900,10100,10900,11500,12300,13600,14100,14200,15400,16400,17100,17500
Portugal,11300,11900,12700,13400,14500,15400,15900,16300,16400,16700,17900,18700,19600,19500,18800,19600,19300,19400,19400
Romania,4800,5100,4700,4500,4700,5000,5500,6000,6500,7500,8000,9200,10700,12200,11700,12400,12900,13600,13900
Slovenia,10900,11700,12700,13400,14400,15200,15800,16800,17300,18700,19600,20700,22100,22700,20200,20600,21200,21400,21300
Slovakia,7000,7600,8300,8800,9000,9500,10300,11100,11500,12300,13500,14900,16900,18100,17000,18100,18900,19400,19600
Finland,15800,16300,17900,19300,20400,22300,22700,23500,23300,25100,25700,26900,29300,29700,26900,27900,29100,29400,28700
Sweden,18300,19200,20000,20900,22400,24300,24200,25000,25700,27300,27300,29000,31200,30900,28200,30200,31400,32200,32700
United Kingdom,16900,18000,19500,20200,21200,22900,23900,24800,25400,26900,27800,28900,29400,28600,26300,26300,26400,26600,27200
Iceland,19500,20500,22300,23800,24700,25000,26100,26500,26000,28400,29200,29100,30100,30800,28200,27900,28700,29400,30000
Liechtenstein,,,,,,,,,,,,,,,,,,,
Norway,19800,22000,23900,23400,25700,31400,31800,31600,32300,35700,39800,43800,45300,47900,41400,44000,46600,49700,49200
Switzerland,22900,23700,25000,25800,26400,28100,28300,29300,28900,29900,30600,32900,35900,37100,35200,37200,38800,40300,40600
Former Yugoslav Republic of Macedonia,,,4300,4500,4800,5100,5000,5200,5400,5900,6600,7100,7700,8400,8500,8900,9000,,
Serbia,,,,,,,,,,,7100,7700,8200,9000,8400,8500,8900,9000,
Turkey,4400,4800,5300,7300,7100,8000,7400,7400,7400,8500,9500,10500,11300,11700,10900,12200,13400,,
United States,24100,25400,26900,28100,29900,31600,31900,32500,33400,35200,37000,37700,38900,37700,35100,36800,37400,39400,39800
Japan,19200,20200,21000,20800,21200,22500,22700,23200,23600,24700,25400,25800,27100,26200,24000,25700,25800,,
